"","bias","MRS","type","Method","Behaviour"
"1",-0.0878101118024281,0.196016974652999,"Missed speeds absent","Harmonic mean","Unimodal"
"2",-0.108703068728338,0.196106627500076,"Missed speeds absent","Harmonic mean","Unimodal"
"3",-0.112130995101305,0.194868349436039,"Missed speeds absent","Harmonic mean","Unimodal"
"4",-0.0463046293215255,0.196399468345513,"Missed speeds absent","Harmonic mean","Unimodal"
"5",-0.148797901981362,0.195237789837324,"Missed speeds absent","Harmonic mean","Unimodal"
"6",-0.190525836784338,0.197626620054062,"Missed speeds absent","Harmonic mean","Unimodal"
"7",-0.0454635302834888,0.194947310222051,"Missed speeds absent","Harmonic mean","Unimodal"
"8",-0.160478258368101,0.197414571106282,"Missed speeds absent","Harmonic mean","Unimodal"
"9",-0.0337657325748111,0.196158814530917,"Missed speeds absent","Harmonic mean","Unimodal"
"10",-0.0495931688632365,0.1945476373819,"Missed speeds absent","Harmonic mean","Unimodal"
"11",-0.171304417299707,0.195860450266615,"Missed speeds absent","Harmonic mean","Unimodal"
"12",-0.294361841269458,0.196600571192831,"Missed speeds absent","Harmonic mean","Unimodal"
"13",-0.166331511612476,0.194410599476697,"Missed speeds absent","Harmonic mean","Unimodal"
"14",0.0227388819274603,0.198381920692065,"Missed speeds absent","Harmonic mean","Unimodal"
"15",-0.129369584449044,0.195311604339116,"Missed speeds absent","Harmonic mean","Unimodal"
"16",-0.135452436802309,0.196168078431528,"Missed speeds absent","Harmonic mean","Unimodal"
"17",-0.053780054525532,0.195562566878671,"Missed speeds absent","Harmonic mean","Unimodal"
"18",-0.234419864625047,0.196441714853494,"Missed speeds absent","Harmonic mean","Unimodal"
"19",0.240832707675685,0.195525251436452,"Missed speeds absent","Harmonic mean","Unimodal"
"20",-0.0355488117836831,0.196399468345513,"Missed speeds absent","Harmonic mean","Unimodal"
"21",-0.179085040466106,0.269926061750356,"Missed speeds absent","Harmonic mean","Unimodal"
"22",-0.146866238683452,0.266890319096535,"Missed speeds absent","Harmonic mean","Unimodal"
"24",-0.136055412832951,0.267662300838216,"Missed speeds absent","Harmonic mean","Unimodal"
